path,line,heading
docs/DOCS_CLEANUP_PHASE2_PLAN_2026-03-21.md,17,## Non-goals
docs/DOCS_CLEANUP_PLAN_2026-03-21.md,1,# Docs Cleanup Plan — 2026-03-21
docs/DOCS_CLEANUP_PLAN_2026-03-21.md,3,## Execution model
docs/DOCS_CLEANUP_PLAN_2026-03-21.md,14,## This cleanup intentionally does not do
docs/DOCS_CLEANUP_PLAN_2026-03-21.md,22,## Script scope
docs/DOCS_INFORMATION_ARCHITECTURE.md,1,# Docs Information Architecture
docs/DOCS_INFORMATION_ARCHITECTURE.md,3,## Outcome
docs/DOCS_INFORMATION_ARCHITECTURE.md,6,## Target structure
docs/DOCS_INFORMATION_ARCHITECTURE.md,26,## Root doc rules
docs/DOCS_INFORMATION_ARCHITECTURE.md,34,## Naming rules
docs/DOCS_REVIEW_2026-03-21.md,1,# Docs Review — 2026-03-21
docs/DOCS_REVIEW_2026-03-21.md,3,## Scope reviewed
docs/DOCS_REVIEW_2026-03-21.md,6,## Bottom line
docs/DOCS_REVIEW_2026-03-21.md,15,## Keep as-is
docs/DOCS_REVIEW_2026-03-21.md,30,## Keep but index better
docs/DOCS_REVIEW_2026-03-21.md,36,## Move to archive
docs/DOCS_REVIEW_2026-03-21.md,44,## Rename / normalize
docs/DOCS_REVIEW_2026-03-21.md,63,"## Review later, do not auto-delete"
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,1,# Docs Review Phase 2 — Live Repo Based
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,3,## Bottom line
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,6,## Live repo findings
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,16,## Keep
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,31,## Move to archive now
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,36,## Normalize now
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,68,"## Review later, do not auto-move"
docs/DOCUMENTATION_STANDARD.md,1,# Documentation Standard
docs/DOCUMENTATION_STANDARD.md,3,## Purpose
docs/DOCUMENTATION_STANDARD.md,7,## Source Of Truth
docs/DOCUMENTATION_STANDARD.md,16,## Historical Only
docs/DOCUMENTATION_STANDARD.md,22,## Change Recording
docs/DOCUMENTATION_STANDARD.md,28,## Source-Of-Truth Matrix
docs/DOCUMENTATION_STANDARD.md,48,## Current Icon Contract
docs/PROJECT_STATUS_2026-03-16.md,1,# Project Status - 2026-03-16
docs/PROJECT_STATUS_2026-03-16.md,3,## Current Runtime Truth
docs/PROJECT_STATUS_2026-03-16.md,21,## Current UI Architecture State
docs/PROJECT_STATUS_2026-03-16.md,37,## Locked UI Contracts
docs/PROJECT_STATUS_2026-03-16.md,45,## Latest Canonical Implementation Point
docs/PROJECT_STATUS_2026-03-16.md,59,## Validation Snapshot
docs/PROJECT_STATUS_2026-03-16.md,83,## Known Non-Blocking Notes
docs/README.md,1,# my_TV_Movie — Documentation Index
docs/README.md,3,## Purpose
docs/README.md,6,## Current top-level doc groups
docs/README.md,24,## Current high-value docs
docs/README.md,39,## Availability-status docs already present
docs/README.md,50,## Rule
docs/README.md,53,## Repo sync preflight
docs/README.md,65,## Current UI/runtime note
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,1,# Thread Restart Handoff - 2026-03-16
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,3,## Resume Point
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,13,## What Was Just Completed
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,24,## What To Trust As Current Truth
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,41,## Important Caution Before Resuming
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,51,## Recommended Next Work Areas
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,63,## Restart Prompt Seed
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,122,## Companion Documents
docs/UI_COMPONENTS.md,1,# UI Component Contract
docs/UI_COMPONENTS.md,3,## Media Card
docs/UI_COMPONENTS.md,17,## Icon Strip
docs/UI_COMPONENTS.md,45,## Filter Rails
docs/UI_COMPONENTS.md,50,## Calendar Modes
docs/UI_COMPONENTS.md,55,## Episode Card
docs/UI_GAP_ANALYSIS.md,1,# UI Gap Analysis
docs/UI_GAP_ANALYSIS.md,3,## Calendar Page
docs/UI_GAP_ANALYSIS.md,14,## Card Rendering
docs/VIEW_NAVIGATION_TREE.md,1,# View Navigation Tree
docs/VIEW_NAVIGATION_TREE.md,3,## Primary Navigation
docs/VIEW_NAVIGATION_TREE.md,54,## Shared Modal Layers
docs/VIEW_NAVIGATION_TREE.md,65,## Shared Card Families
docs/VIEW_NAVIGATION_TREE.md,72,## Shared Interaction Rules
docs/Web Icon Image Inventory (usable formats & variants).txt,4,## Web Icon Image Inventory (usable formats & variants)
docs/Web Icon Image Inventory (usable formats & variants).txt,6,### 1) Raster image formats
docs/Web Icon Image Inventory (usable formats & variants).txt,18,### 2) Vector formats
docs/Web Icon Image Inventory (usable formats & variants).txt,28,### 3) Icon container formats (favicons / app icons)
docs/Web Icon Image Inventory (usable formats & variants).txt,38,### 4) SVG icon delivery variants
docs/Web Icon Image Inventory (usable formats & variants).txt,50,### 5) Styling & color variants
docs/Web Icon Image Inventory (usable formats & variants).txt,65,### 6) Resolution & density variants
docs/Web Icon Image Inventory (usable formats & variants).txt,75,### 7) Animation-capable icon formats
docs/Web Icon Image Inventory (usable formats & variants).txt,86,### 8) Common web icon size inventory
docs/Web Icon Image Inventory (usable formats & variants).txt,99,### 9) Icon font alternative (non-image)
docs/Web Icon Image Inventory (usable formats & variants).txt,108,### 10) Recommended baseline set (practical)
docs/_archive/20260321_191334/spec_working_noise/..NOTES for the FULL authoritative spec+plan.md,235,4.5.6 List File Editors
docs/_patch_notes/20260223_202038_qa_data_json_audit.md,1,# QA Data JSON Audit + Dedup Fix
docs/_patch_notes/20260223_202038_qa_data_json_audit.md,6,## Evidence
docs/_patch_notes/20260223_202038_qa_data_json_audit.md,11,## Changes
docs/_patch_notes/20260223_202038_qa_data_json_audit.md,23,## Rule Validation (After)
docs/_patch_notes/20260223_202038_qa_data_json_audit.md,28,## Artifacts
docs/ai/README.md,1,# Codex Support Files
docs/ai/README.md,8,## Files and Purpose
docs/ai/README.md,21,## Which file to use when
docs/ai/README.md,30,## Minimum recommended prompt references
docs/ai/README.md,37,## Validation Rule
docs/ai/codex_operating_rules.md,1,# Codex Operating Rules
docs/ai/codex_operating_rules.md,6,## 1. Windows Write Constraint
docs/ai/codex_operating_rules.md,21,## 2. Required Write Strategy
docs/ai/codex_operating_rules.md,39,## 3. Repo Preservation Rules
docs/ai/codex_operating_rules.md,52,## 4. Artifact Preferences
docs/ai/codex_operating_rules.md,60,## 5. Validation Rules
docs/ai/codex_operating_rules.md,70,## 6. Recovery Rule
docs/ai/codex_operating_rules.md,81,## 7. UI Standardization Specific Rules
docs/ai/codex_prompt_blocks/ui_audit_continuation_guardrail.md,1,# Prompt Block - UI Audit Continuation Guardrail
docs/ai/codex_prompt_blocks/ui_audit_continuation_guardrail.md,5,## Windows Write Constraint
docs/ai/codex_prompt_blocks/ui_audit_continuation_guardrail.md,15,## Continuation Rules
docs/ai/codex_prompt_blocks/ui_audit_continuation_guardrail.md,25,## Required Output Discipline
docs/ai/codex_prompt_blocks/ui_audit_continuation_guardrail.md,32,## Recovery Rule
docs/ai/codex_prompt_blocks/ui_refactor_phase_guardrail.md,1,# Prompt Block - UI Refactor Phase Guardrail
docs/ai/codex_prompt_blocks/ui_refactor_phase_guardrail.md,5,## Windows Write Constraint
docs/ai/codex_prompt_blocks/ui_refactor_phase_guardrail.md,15,## Implementation Rules
docs/ai/codex_prompt_blocks/ui_refactor_phase_guardrail.md,26,## Preferred Implementation Order
docs/ai/codex_prompt_blocks/ui_refactor_phase_guardrail.md,35,## Recovery Rule
docs/ai/codex_prompt_blocks/windows_large_write_guardrail.md,1,# Prompt Block - Windows Large Write Guardrail
docs/ai/codex_prompt_blocks/windows_large_write_guardrail.md,5,## Windows Write Constraint
docs/ai/codex_prompt_blocks/windows_large_write_guardrail.md,15,## Required Write Method
docs/ai/codex_prompt_blocks/windows_large_write_guardrail.md,24,## Do Not
docs/ai/codex_prompt_blocks/windows_large_write_guardrail.md,30,## Recovery Rule
docs/ai/templates/codex_task_launch_template.md,1,# Codex Task Launch Template
docs/ai/templates/codex_task_launch_template.md,8,## Core Instructions
docs/ai/templates/codex_task_launch_template.md,19,## Required Guardrail Block
docs/ai/templates/codex_task_launch_template.md,21,### Windows Write Constraint
docs/ai/templates/codex_task_launch_template.md,44,## Task Framing Checklist
docs/ai/templates/codex_ui_continuation_master_prompt.md,1,# Codex UI Continuation Master Prompt
docs/ai/templates/codex_ui_continuation_master_prompt.md,11,## Prompt Frame
docs/ai/templates/codex_ui_implementation_master_prompt.md,1,# Codex UI Implementation Master Prompt
docs/ai/templates/codex_ui_implementation_master_prompt.md,11,## Prompt Frame
docs/architecture/availability_status_baseline_architecture.md,1,# Availability Status Baseline Architecture
docs/architecture/availability_status_baseline_architecture.md,3,## Current-state-safe target
docs/architecture/availability_status_baseline_architecture.md,25,## Architectural boundary decisions
docs/architecture/availability_status_baseline_architecture.md,34,## Source-of-truth file
docs/architecture/availability_status_baseline_architecture.md,52,## Why a separate post-build layer
docs/architecture/availability_status_baseline_architecture.md,60,## Phase 2 hardening
docs/calendar_view.md,1,# Calendar View UI Contract
docs/calendar_view.md,3,## Purpose
docs/calendar_view.md,7,## Page Layout
docs/calendar_view.md,15,## Page-Level Rules
docs/calendar_view.md,23,## Day Cell Contract
docs/calendar_view.md,32,## Card Contract Inside Calendar
docs/calendar_view.md,39,## Data Mapping
docs/calendar_view.md,51,## Sticky Rules
docs/calendar_view.md,58,## Responsive Behavior
docs/calendar_view.md,65,## Must Never Appear
docs/config/config.md,8,# ui_tuning.watch_me
docs/config/config.md,21,## `sidebar_width_px`
docs/config/config.md,34,## `card_width_px`
docs/config/config.md,47,## `card_height_px`
docs/config/config.md,60,## `card_gap_px`
docs/config/config.md,73,## `section_gap_px`
docs/config/config.md,86,## `carousel_btn_size_px`
docs/data/availability_status_data_contract.md,1,# Availability Status Data Contract
docs/data/availability_status_data_contract.md,3,## Source file
docs/data/availability_status_data_contract.md,7,## Source file structure
docs/data/availability_status_data_contract.md,36,## Required source fields
docs/data/availability_status_data_contract.md,48,## Required target fields in `data.json`
docs/data/availability_status_data_contract.md,57,## Matching rules Codex must verify against the real repo
docs/data/availability_status_data_contract.md,65,## Composite key baseline
docs/data/availability_status_data_contract.md,71,## Live repo key note
docs/data/availability_status_data_contract.md,78,## Phase 2 source-file additions
docs/design/availability_status_solution_design.md,1,# Availability Status Solution Design
docs/design/availability_status_solution_design.md,3,## Outcome
docs/design/availability_status_solution_design.md,6,## Primary decision
docs/design/availability_status_solution_design.md,9,## Live repo implementation note
docs/design/availability_status_solution_design.md,17,## Final status enum
docs/design/availability_status_solution_design.md,25,## Design rules
docs/design/availability_status_solution_design.md,35,## Why this design
docs/design/availability_status_solution_design.md,42,## Mandatory write fields into `data.json`
docs/design/availability_status_solution_design.md,51,## Resolution logic
docs/design/availability_status_solution_design.md,60,## Non-goals
docs/design/availability_status_solution_design.md,67,## Phase 2 design notes
docs/episode_card.md,1,# Episode Card Contract
docs/focus_navigation_tv.md,1,# Focus And Navigation TV Contract
docs/focus_navigation_tv.md,3,## Purpose
docs/focus_navigation_tv.md,7,## Global Rules
docs/focus_navigation_tv.md,14,## D-Pad Navigation
docs/focus_navigation_tv.md,23,## Popup Focus Trap
docs/focus_navigation_tv.md,31,## Scroll Lock
docs/focus_navigation_tv.md,37,## Active Layer Rules
docs/focus_navigation_tv.md,44,## Browse Surface Rules
docs/focus_navigation_tv.md,53,## Android TV Specific Implications
docs/focus_navigation_tv.md,59,## Must Never Happen
docs/impact/availability_status_system_impact_matrix.md,1,# Availability Status System Impact Matrix
docs/impact/availability_status_system_impact_matrix.md,3,## System-wide impact
docs/impact/availability_status_system_impact_matrix.md,18,## Existing repo risks Codex must assess against live repo
docs/impact/availability_status_system_impact_matrix.md,27,## Phase 2 impact additions
docs/implementation/availability_status_end_to_end_delivery_plan.md,1,# Availability Status End-to-End Delivery Plan
docs/implementation/availability_status_end_to_end_delivery_plan.md,3,## Delivery goal
docs/implementation/availability_status_end_to_end_delivery_plan.md,6,## Required grouped delivery phases
docs/implementation/availability_status_end_to_end_delivery_plan.md,17,## Live implementation mapping
docs/implementation/availability_status_end_to_end_delivery_plan.md,27,## Hard implementation rules
docs/implementation/availability_status_end_to_end_delivery_plan.md,39,## Phase 2 completion additions
docs/implementation/availability_status_end_to_end_delivery_plan.md,47,## Metadata hardening additions
docs/movie_card.md,1,# Movie Card Contract
docs/movie_popup.md,1,# Movie Popup UI Contract
docs/movie_popup.md,3,## Purpose
docs/movie_popup.md,7,## Popup Structure
docs/movie_popup.md,16,## Required Fields
docs/movie_popup.md,27,## Optional Fields
docs/movie_popup.md,40,## Data Mapping
docs/movie_popup.md,59,## Icon Strip Contract
docs/movie_popup.md,67,## Alignment Rules
docs/movie_popup.md,74,## Spacing Rules
docs/movie_popup.md,79,## Responsive Behavior
docs/movie_popup.md,85,## Must Never Appear
docs/movie_popup.md,92,## Patch focus
docs/movie_popup.md,96,### Current enforcement
docs/show_card.md,1,# Show Card Contract
docs/show_popup.md,1,# Show Popup Contract
docs/spec/README.md,1,# Authoritative Spec Index
docs/spec/README.md,3,## Purpose
docs/spec/README.md,6,## Active spec body
docs/spec/README.md,24,## Working notes
docs/spec/README.md,30,## Archive location
docs/spec/Section 0 - Index.md,10,# Section 0 — Index
docs/spec/Section 0 - Index.md,17,## 1.0 — Global Rules
docs/spec/Section 0 - Index.md,20,## 2.0 — Architecture
docs/spec/Section 0 - Index.md,23,## 3.0 — Data Model
docs/spec/Section 0 - Index.md,26,## 4.0 — UI (Each View Separately)
docs/spec/Section 0 - Index.md,29,### 4.1 — Calendar View
docs/spec/Section 0 - Index.md,30,### 4.2 — Shows View
docs/spec/Section 0 - Index.md,31,### 4.3 — Movies View
docs/spec/Section 0 - Index.md,32,### 4.4 — Live TV View
docs/spec/Section 0 - Index.md,33,### 4.5 — Config View
docs/spec/Section 0 - Index.md,34,### 4.6 — Explore View (future phase)
docs/spec/Section 0 - Index.md,35,### 4.7 — Profiles View (future phase)
docs/spec/Section 0 - Index.md,36,### 4.8 — Watchlist — Watched Filters (future phase)
docs/spec/Section 0 - Index.md,37,### 4.9 — Watchlist (Standalone Page)
docs/spec/Section 0 - Index.md,41,## 5.0 — Popups
docs/spec/Section 0 - Index.md,44,## 6.0 — UX
docs/spec/Section 0 - Index.md,47,## 7.0 — Assets
docs/spec/Section 0 - Index.md,50,## 8.0 — Scripts
docs/spec/Section 0 - Index.md,53,## 9.0 — Workflow
docs/spec/Section 0 - Index.md,56,## 10.0 — Versioning
docs/spec/Section 0 - Index.md,59,## 11.0 — Errors
docs/spec/Section 0 - Index.md,62,## 12.0 — Future‑Phase
docs/spec/Section 0 - Index.md,65,## 13.0 — Invariants
docs/spec/Section 0 - Index.md,70,# End of Section 0 — Index
docs/spec/Section 1 - Global Rules.md,1,# **SECTION 1 — GLOBAL RULES**
docs/spec/Section 1 - Global Rules.md,6,# **1.1 Purpose of This Section**
docs/spec/Section 1 - Global Rules.md,11,# **1.2 System‑Wide Non‑Negotiable Constraints**
docs/spec/Section 1 - Global Rules.md,13,### **1.2.1 No Feature Drops**
docs/spec/Section 1 - Global Rules.md,15,### **1.2.2 No Architectural Invention**
docs/spec/Section 1 - Global Rules.md,17,### **1.2.3 No Renaming**
docs/spec/Section 1 - Global Rules.md,19,### **1.2.4 No Partial Files**
docs/spec/Section 1 - Global Rules.md,22,### **1.2.5 No Destructive Writes**
docs/spec/Section 1 - Global Rules.md,25,### **1.2.6 No Cross‑Contamination**
docs/spec/Section 1 - Global Rules.md,28,### **1.2.7 No Simplification**
docs/spec/Section 1 - Global Rules.md,31,### **1.2.8 No Missing Fields**
docs/spec/Section 1 - Global Rules.md,33,### **1.2.9 No Missing UI Elements**
docs/spec/Section 1 - Global Rules.md,35,### **1.2.10 No Missing Popups**
docs/spec/Section 1 - Global Rules.md,37,### **1.2.11 No Missing Filters**
docs/spec/Section 1 - Global Rules.md,39,### **1.2.12 No Missing Icon Strips**
docs/spec/Section 1 - Global Rules.md,41,### **1.2.13 No Missing Sizing Rules**
docs/spec/Section 1 - Global Rules.md,43,### **1.2.14 No Missing Metadata**
docs/spec/Section 1 - Global Rules.md,45,### **1.2.15 No Missing Workflow Guardrails**
docs/spec/Section 1 - Global Rules.md,47,### **1.2.16 No Missing Script Validation**
docs/spec/Section 1 - Global Rules.md,49,### **1.2.17 No Missing Local Image Paths**
docs/spec/Section 1 - Global Rules.md,51,### **1.2.18 No Missing Streaming Link Rules**
docs/spec/Section 1 - Global Rules.md,54,# **1.3 Rendering Pipeline Rules**
docs/spec/Section 1 - Global Rules.md,59,### **1.3.1 No Runtime Fetching**
docs/spec/Section 1 - Global Rules.md,62,### **1.3.2 No Dynamic Schema**
docs/spec/Section 1 - Global Rules.md,64,### **1.3.3 No Missing Data Guards**
docs/spec/Section 1 - Global Rules.md,67,### **1.3.4 No Silent Failures**
docs/spec/Section 1 - Global Rules.md,70,# **1.4 Popup Chain Rules**
docs/spec/Section 1 - Global Rules.md,75,### **1.4.1 Mandatory Existence**
docs/spec/Section 1 - Global Rules.md,77,### **1.4.2 Mandatory Navigation**
docs/spec/Section 1 - Global Rules.md,79,### **1.4.3 Mandatory Scroll Trapping**
docs/spec/Section 10 - Versioning.md,1,# **SECTION 10 — VERSIONING & METADATA**
docs/spec/Section 10 - Versioning.md,8,# **10.1 Purpose of This Section**
docs/spec/Section 10 - Versioning.md,21,# **10.2 Versioning Model**
docs/spec/Section 10 - Versioning.md,39,# **10.3 Schema Version**
docs/spec/Section 10 - Versioning.md,51,### **Rules:**
docs/spec/Section 10 - Versioning.md,58,# **10.4 Metadata Version**
docs/spec/Section 10 - Versioning.md,68,### **Rules:**
docs/spec/Section 10 - Versioning.md,75,# **10.5 Asset Version**
docs/spec/Section 10 - Versioning.md,85,### **Rules:**
docs/spec/Section 10 - Versioning.md,92,# **10.6 Workflow Version**
docs/spec/Section 10 - Versioning.md,100,### **Rules:**
docs/spec/Section 10 - Versioning.md,106,# **10.7 System Version**
docs/spec/Section 10 - Versioning.md,109,### **Rules:**
docs/spec/Section 10 - Versioning.md,116,# **10.8 Metadata Structure Requirements**
docs/spec/Section 10 - Versioning.md,140,# **10.9 Metadata Integrity Requirements**
docs/spec/Section 10 - Versioning.md,152,# **10.10 Versioning Invariants**
docs/spec/Section 10 - Versioning.md,166,# **10.11 End of Section 10 — Versioning & Metadata**
docs/spec/Section 11 - Errors.md,1,# **SECTION 11 — ERROR HANDLING & DIAGNOSTICS**
docs/spec/Section 11 - Errors.md,8,# **11.1 Purpose of This Section**
docs/spec/Section 11 - Errors.md,23,# **11.2 Error Categories**
docs/spec/Section 11 - Errors.md,38,# **11.3 Metadata Error Handling**
docs/spec/Section 11 - Errors.md,47,### **Rules:**
docs/spec/Section 11 - Errors.md,57,# **11.4 Asset Error Handling**
docs/spec/Section 11 - Errors.md,66,### **Rules:**
docs/spec/Section 11 - Errors.md,75,# **11.5 Network Error Handling**
docs/spec/Section 11 - Errors.md,83,### **Rules:**
docs/spec/Section 11 - Errors.md,92,# **11.6 Schema Error Handling**
docs/spec/Section 11 - Errors.md,100,### **Rules:**
docs/spec/Section 11 - Errors.md,108,# **11.7 Version Error Handling**
docs/spec/Section 11 - Errors.md,116,### **Rules:**
docs/spec/Section 11 - Errors.md,124,# **11.8 Workflow Error Handling**
docs/spec/Section 11 - Errors.md,132,### **Rules:**
docs/spec/Section 11 - Errors.md,141,# **11.9 User‑Facing Error Handling**
docs/spec/Section 11 - Errors.md,149,### **Rules:**
docs/spec/Section 11 - Errors.md,157,# **11.10 Diagnostics Requirements**
docs/spec/Section 11 - Errors.md,175,# **11.11 Error Handling Invariants**
docs/spec/Section 11 - Errors.md,189,# **11.12 End of Section 11 — Error Handling & Diagnostics**
docs/spec/Section 12 - Future-Phase.md,1,# **12.1 Purpose of This Section**
docs/spec/Section 12 - Future-Phase.md,15,# **12.2 Future‑Phase Categories**
docs/spec/Section 12 - Future-Phase.md,31,# **12.3 User Profiles & Personalization**
docs/spec/Section 12 - Future-Phase.md,34,### **Responsibilities:**
docs/spec/Section 12 - Future-Phase.md,41,### **Profile‑Aware Features:**
docs/spec/Section 12 - Future-Phase.md,48,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,55,# **12.4 Advanced Metadata & Discovery**
docs/spec/Section 12 - Future-Phase.md,58,### **Planned Enhancements:**
docs/spec/Section 12 - Future-Phase.md,67,### **Discovery Features:**
docs/spec/Section 12 - Future-Phase.md,73,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,80,# **12.5 Cross‑Service Synchronization**
docs/spec/Section 12 - Future-Phase.md,89,### **Responsibilities:**
docs/spec/Section 12 - Future-Phase.md,95,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,98,# **12.6 Enhanced UX & Accessibility**
docs/spec/Section 12 - Future-Phase.md,101,### **Planned Enhancements:**
docs/spec/Section 12 - Future-Phase.md,110,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,117,# **12.7 Offline Mode & Local Bundles**
docs/spec/Section 12 - Future-Phase.md,120,### **Responsibilities:**
docs/spec/Section 12 - Future-Phase.md,127,### **Offline Bundles Include:**
docs/spec/Section 12 - Future-Phase.md,133,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,140,# **12.8 AI‑Assisted Features**
docs/spec/Section 12 - Future-Phase.md,143,### **Planned Enhancements:**
docs/spec/Section 12 - Future-Phase.md,150,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,157,# **12.9 EPG & Live TV Expansion**
docs/spec/Section 12 - Future-Phase.md,167,### **Responsibilities:**
docs/spec/Section 12 - Future-Phase.md,173,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,180,# **12.10 Multi‑Device Ecosystem**
docs/spec/Section 12 - Future-Phase.md,190,### **Responsibilities:**
docs/spec/Section 12 - Future-Phase.md,195,### **Invariants:**
docs/spec/Section 12 - Future-Phase.md,202,# **12.11 Future‑Phase Invariants**
docs/spec/Section 13 - Invariants.md,1,# **SECTION 13 — INVARIANTS (MUST NEVER CHANGE)**
docs/spec/Section 13 - Invariants.md,8,# **13.1 Purpose of This Section**
docs/spec/Section 13 - Invariants.md,23,# **13.2 Metadata Invariants**
docs/spec/Section 13 - Invariants.md,35,# **13.3 Asset Invariants**
docs/spec/Section 13 - Invariants.md,46,# **13.4 Workflow Invariants**
docs/spec/Section 13 - Invariants.md,55,# **13.5 Script Invariants**
docs/spec/Section 13 - Invariants.md,64,# **13.6 UI Invariants**
docs/spec/Section 13 - Invariants.md,74,# **13.7 Error Handling Invariants**
docs/spec/Section 13 - Invariants.md,83,# **13.8 System‑Wide Invariants**
docs/spec/Section 13 - Invariants.md,96,# **13.9 End of Section 13 — Invariants (Must Never Change)**
docs/spec/Section 2 - Architecture.md,1,# **SECTION 2 — ARCHITECTURE**
docs/spec/Section 2 - Architecture.md,8,# **2.1 Purpose of This Section**
docs/spec/Section 2 - Architecture.md,25,# **2.2 High‑Level System Architecture**
docs/spec/Section 2 - Architecture.md,28,### **2.2.1 Core Architectural Layers**
docs/spec/Section 2 - Architecture.md,84,# **2.3 SPA Structure**
docs/spec/Section 2 - Architecture.md,93,### **2.3.1 Immutable Routing Model**
docs/spec/Section 2 - Architecture.md,117,# **2.4 Rendering Pipeline Architecture**
docs/spec/Section 2 - Architecture.md,124,### **2.4.1 Pipeline Stages**
docs/spec/Section 2 - Architecture.md,155,# **2.5 View Architecture**
docs/spec/Section 2 - Architecture.md,167,### **2.5.1 Calendar View Architecture**
docs/spec/Section 2 - Architecture.md,177,### **2.5.2 Shows View Architecture**
docs/spec/Section 2 - Architecture.md,187,### **2.5.3 Movies View Architecture**
docs/spec/Section 2 - Architecture.md,197,### **2.5.4 Live TV View Architecture**
